NCM,DESCRICAO,ALIçQUOTA(%),,,,
8459.49.00,Outras,0,,,,
8459.5,"- M°quinas para fresar, de console:",,,,,
8459.51.00,De comando numrico,0,,,,
8459.59.00,Outras,0,,,,
8459.6,- Outras m°quinas para fresar:,,,,,
8459.61.00,De comando numrico,0,,,,
8459.69.00,Outras,0,,,,
8459.70.00, Outras m°quinas para roscar interior ou exteriormente,0,,,,
,,,,,,
84.6,"M°quinas-ferramentas para rebarbar, afiar, amolar, retificar, brunir, polir ou realizaroutrasoperaµesdeacabamentoemmetaisoucermetspormeiodem≥s,deabrasivosoudeprodutospolidores,excetoasm°quinasdecortarouacabarengrenagens da posio 84.61.",,,,,
8460.1,- M°quinas para retificar superf≠cies planas:,,,,,
8460.12.00,De comando numrico,0,,,,
8460.19.00,Outras,0,,,,
8460.2,- Outras m°quinas para retificar:,,,,,
8460.22.00,"M°quinas para retificar sem centro, de comando numrico",0,,,,
8460.23.00,"Outras m°quinas para retificar superf≠cies cil≠ndricas, de comando numrico",0,,,,
8460.24.00,"Outras, de comando numrico",0,,,,
8460.29.00,Outras,0,,,,
8460.3,- M°quinas para afiar:,,,,,
8460.31.00,De comando numrico,0,,,,
8460.39.00,Outras,0,,,,
8460.4, m°quinas para brunir,,,,,
8460.40.1,De comando numrico,,,,,
8460.40.11,Brunidoras para cilindros de di¢metro inferior ou igual a 312 mm,0,,,,
8460.40.19,Outras,0,,,,
8460.40.9,Outras,,,,,
8460.40.91,Brunidoras para cilindros de di¢metro inferior ou igual a 312 mm,0,,,,
8460.40.99,Outras,0,,,,
8460.9, Outras,,,,,
8460.90.1,De comando numrico,,,,,
8460.90.11,"De polir, com cinco ou mais cabeas e porta -peas rotativo",0,,,,
8460.90.12,"De esmerilhar, com duas ou mais cabeas e porta-peas rotativo",0,,,,
8460.90.19,Outras,0,,,,
8460.90.90,Outras,0,,,,
,,,,,,
84.61,"M°quinas-ferramentas para aplainar, plainas-limadoras, m°quinas-ferramentas paraescatelar,brochar,cortarouacabarengrenagens,serrar,seccionareoutrasm°quinas-ferramentas que trabalhem por eliminao de metal ou de cermets, noespecificadas nem compreendidas noutras posiµes.",,,,,
8461.2, Plainas-limadoras e m°quinas para escatelar,,,,,
8461.20.10,Para escatelar,0,,,,
8461.20.90,Outras,0,,,,
8461.3, m°quinas para brochar,,,,,
8461.30.10,De comando numrico,0,,,,
8461.30.90,Outras,0,,,,
8461.4, m°quinas para cortar ou acabar engrenagens,,,,,
8461.40.10,De comando numrico,0,,,,
8461.40.9,Outras,,,,,
8461.40.91,Redondeadoras de dentes,0,,,,
8461.40.99,Outras,0,,,,
8461.5, m°quinas para serrar ou seccionar,,,,,
8461.50.10,De fitas sem fim,0,,,,
8461.50.20,Circulares,0,,,,
8461.50.90,Outras,0,,,,
8461.9, Outras,,,,,
8461.90.10,De comando numrico,0,,,,
8461.90.90,Outras,0,,,,
,,,,,,
84.62,"M°quinas-ferramentas (incluindo as prensas) para forjar ou estampar, martelos,martelos-pilµesemartinetes,paratrabalharmetais(excluindooslaminadores);m°quinas-ferramentas (incluindo as prensas, as linhas de corte longitudinal e aslinhas de corte transversal) para enrolar, arquear, dobrar, endireitar, aplanar, cisalhar,puncionar, chanfrar ou mordiscar metais (excluindo as bancas para estirar); prensaspara trabalhar metais ou carbonetos met°licos, no especificadas acima.",,,,,
8462.1,"- M°quinas para trabalhar a quente (incluindo as prensas) para forjar por matrizagem ou deforjamento livre ou de estampar, martelos, martelos-pilµes e martinetes:",,,,,
8462.11.00,m°quinas para forjamento em matriz fechada,0,,,,
8462.19.00,Outras,0,,,,
8462.2,"- M°quinas (incluindo as prensas dobradeiras) para enrolar, arquear, dobrar, endireitar ouaplanar, para produtos planos:",,,,,
8462.22.00,M°quinas para formao de perfis,0,,,,
8462.23.00,"Prensas dobradeiras, de comando numrico",0,,,,
8462.24.00,"Prensas para painis, de comando numrico",0,,,,
8462.25.00,"M°quinas de conformao por rolos, de comando numrico",0,,,,
8462.26.00,"Outras m°quinas para enrolar, arquear, dobrar, endireitar ou aplanar, de comandonumrico",0,,,,
8462.29.00,Outras,0,,,,
8462.3,"- Linhas de corte longitudinal, linhas de corte transversal e outras m°quinas (excluindo asprensas)paracisalhar,paraprodutosplanos,excetoasm°quinascombinadasdepuncionar e cisalhar:",,,,,
8462.32.00,Linhas de corte longitudinal e Linhas de corte transversal,0,,,,
8462.33.00,"M°quinas para cisalhar, de comando numrico",0,,,,
8462.39.00,Outras,0,,,,
8462.4,"- M°quinas (excluindo as prensas) para puncionar, chanfrar ou mordiscar, para produtosplanos, incluindo as m°quinas combinadas de puncionar e cisalhar:",,,,,
8462.42.00,De comando numrico,0,,,,
8462.49.00,Outras,0,,,,
8462.5,"- M°quinas (excluindo as prensas) para trabalhar tubos, perfis ocos, perfis e barras:",,,,,
8462.51.00,De comando numrico,0,,,,
8462.59.00,Outras,0,,,,
8462.6,- Prensas para trabalhar metal a frio:,,,,,
8462.61.00,prensas hidr°ulicas,0,,,,
8462.62.00,Prensas mec¢nicas,0,,,,
8462.63.00,Servoprensas,0,,,,
8462.69.00,Outras,0,,,,
8462.90.00, Outras,0,,,,
,,,,,,
84.63,"Outras m°quinas-ferramentas para trabalhar metais ou cermets, que trabalhem semeliminao de matria.",,,,,
8463.1," Bancas para estirar barras, Tubos, Perfis, Fios ou semelhantes",,,,,
8463.10.10,Para estirar tubos,0,,,,
8463.10.90,Outros,0,,,,
8463.2, m°quinas para fazer roscas internas ou externas por laminagem,,,,,
8463.20.10,De comando numrico,0,,,,
8463.20.9,Outras,,,,,
8463.20.91,"De pente plano, com capacidade de produo igual ou superior a 160 unidades porminuto, de di¢metro de rosca compreendido entre 3 mm e 10 mm",0,,,,
8463.20.99,Outras,0,,,,
8463.30.00, m°quinas para trabalhar arames e Fios de metal,0,,,,
8463.9, Outras,,,,,
8463.90.10,De comando numrico,0,,,,
8463.90.90,Outras,0,,,,
,,,,,,
84.64,"M°quinas-ferramentas para trabalhar pedra, produtos cer¢micos, concreto (beto),fibrocimento ou matrias minerais semelhantes, ou para o trabalho a frio do vidro.",,,,,
8464.10.00, m°quinas para serrar,0,,,,
8464.2, m°quinas para esmerilar ou polir,,,,,
8464.20.10,Para vidro,0,,,,
8464.20.2,Para cer¢mica,,,,,
8464.20.21,"De polir placas, para pavimentao ou revestimento, com oito ou mais cabeas",0,,,,
8464.20.29,Outras,0,,,,
8464.20.90,Outras,0,,,,
8464.9, Outras,,,,,
8464.90.1,Para vidro,,,,,
8464.90.11,"De comando numrico, para retificar, fresar e perfurar",0,,,,
8464.90.19,Outras,0,,,,
8464.90.90,Outras,0,,,,
,,,,,,
84.65,"M°quinas-ferramentas (incluindo as m°quinas para pregar, grampear, colar ou reunirpor qualquer outro modo) para trabalhar madeira, cortia, osso, borracha endurecida,pl°stico duro ou matrias duras semelhantes.",,,,,
8465.10.00,"- M°quinas-ferramentas capazes de efetuar diferentes tipos de operaµes sem troca deferramentas",0,,,,
8465.20.00,- Centros de usinagem (fabricao*),0,,,,
8465.9,- Outras:,,,,,
8465.91,m°quinas de serrar,,,,,
8465.91.10,De fita sem fim,0,,,,
8465.91.20,Circulares,0,,,,
8465.91.90,Outras,0,,,,
8465.92,M°quinas para desbastar ou aplainar; m°quinas para fresar ou moldurar,,,,,
8465.92.1,De comando numrico,,,,,
8465.92.11,Fresadoras,0,,,,
8465.92.19,Outras,0,,,,
8465.92.90,Outras,0,,,,
8465.93,"m°quinas para esmerilar, lixar ou polir",,,,,
8465.93.10,Lixadeiras,0,,,,
8465.93.90,Outras,0,,,,
8465.94.00,m°quinas para arquear ou reunir,0,,,,
8465.95,m°quinas para furar ou escatelar,,,,,
8465.95.1,De comando numrico,,,,,
8465.95.11,Para furar,0,,,,
8465.95.12,Para escatelar,0,,,,
8465.95.9,Outras,,,,,
8465.95.91,Para furar,0,,,,
8465.95.92,Para escatelar,0,,,,
8465.96.00,"m°quinas para fender, seccionar ou desenrolar",0,,,,
8465.99.00,Outras,0,,,,
,,,,,,
84.66,"Partes e acess≥rios reconhec≠veis como exclusiva ou principalmente destinados †sm°quinas das posiµes 84.56 a 84.65, incluindo os porta-peas e porta-ferramentas,as fieiras de abertura autom°tica, os dispositivos divisores e outros dispositivosespeciais, para estas m°quinas; porta-ferramentas para ferramentas manuais dequalquer tipo.",,,,,
8466.10.00, porta-ferramentas e Fieiras de abertura autom°tica,0,,,,
8466.2, porta-peas,,,,,
8466.20.10,Para tornos,0,,,,
8466.20.90,Outros,0,,,,
8466.30.00," dispositivos divisores e Outros dispositivos especiais, para m°quinas",0,,,,
8466.9,- Outros:,,,,,
8466.91.00,Para m°quinas da posio 84.64,0,,,,
8466.92.00,Para m°quinas da posio 84.65,0,,,,
8466.93,Para m°quinas das posiµes 84.56 a 84.61,,,,,
8466.93.1,Para m°quinas da posio 84.56,,,,,
8466.93.11,Para m°quinas da subposio 8456.20,"3,25",,,,
8466.93.19,Outras,0,,,,
8466.93.20,Para m°quinas da posio 84.57,0,,,,
8466.93.30,Para m°quinas da posio 84.58,0,,,,
8466.93.40,Para m°quinas da posio 84.59,0,,,,
8466.93.50,Para m°quinas da posio 84.60,0,,,,
8466.93.60,Para m°quinas da posio 84.61,0,,,,
8466.94,Para m°quinas das posiµes 84.62 ou 84.63,,,,,
8466.94.10,Para m°quinas das subposiµes 8462.11 ou 8462.19,0,,,,
8466.94.20,Para m°quinas das subposiµes 8462.22 a 8462.29,0,,,,
8466.94.90,Outras,0,,,,
,,,,,,
84.67,"Ferramentaspneum°ticas,hidr°ulicasoucommotor(eltricoounoeltrico)incorporado, de uso manual.",,,,,
8467.1,- Pneum°ticas:,,,,,
8467.11,Rotativas (mesmo com sistema de percusso),,,,,
8467.11.10,Furadeiras,"3,25",,,,
8467.11.90,Outras,"3,25",,,,
8467.19.00,Outras,"3,25",,,,
8467.2,- Com motor eltrico incorporado:,,,,,
8467.21.00,"Furadeiras (perfuradoras) de qualquer espcie, incluindo as rotativas","5,2",,,,
8467.22.00,Serras,"5,2",,,,
8467.29,Outras,,,,,
8467.29.10,Tesouras,"5,2",,,,
8467.29.9,Outras,,,,,
8467.29.91,Cortadoras de tecidos,"5,2",,,,
8467.29.92,Parafusadeiras e rosqueadeiras,"5,2",,,,
8467.29.93,Martelos,"5,2",,,,
8467.29.99,Outras,"5,2",,,,
8467.8,- Outras ferramentas:,,,,,
8467.81.00,Serras de corrente,"5,2",,,,
8467.89.00,Outras,"5,2",,,,
8467.9,- Partes:,,,,,
8467.91.00,de Serras de corrente,"5,2",,,,
8467.92.00,de ferramentas Pneum°ticas,"5,2",,,,
8467.99.00,Outras,"5,2",,,,
,,,,,,
84.68,"M°quinas e aparelhos para soldar, mesmo de corte, exceto os da posio 85.15;m°quinas e aparelhos a g°s, para t™mpera superficial.",,,,,
8468.10.00, Maaricos de uso manual,"3,25",,,,
8468.20.00, Outras m°quinas e aparelhos a g°s,0,,,,
8468.8, Outras m°quinas e aparelhos,,,,,
8468.80.10,Para soldar por frico,0,,,,
8468.80.90,Outras,0,,,,
8468.9, partes,,,,,
8468.90.10,De maaricos de uso manual,"3,25",,,,
8468.90.20,De m°quinas ou aparelhos para soldar por frico,"3,25",,,,
8468.90.90,Outras,"3,25",,,,
,,,,,,
84.7,"M°quinasdecalcularem°quinasdebolsoquepermitamgravar,reproduzirevisualizarinformaµes,comfunodec°lculoincorporada;m°quinasdecontabilidade, m°quinas de franquear, de emitir bilhetes e m°quinas semelhantes,com dispositivo de c°lculo incorporado; caixas registradoras.",,,,,
8470.10.00,"- Calculadoras eletr¥nicas capazes de funcionar sem fonte externa de energia eltrica em°quinas de bolso com funo de c°lculo incorporada que permitam gravar, reproduzir evisualizar informaµes","9,75",,,,
,Ex 01 - Calculadora equipada com sintetizador de voz,0,,,,
8470.2,"- Outras m°quinas de calcular, eletr¥nicas:",,,,,
8470.21.00,Com dispositivo impressor incorporado,"9,75",,,,
8470.29.00,Outras,"9,75",,,,
8470.30.00, Outras m°quinas de calcular,"9,75",,,,
8470.5, caixas registradoras,,,,,
8470.50.10,Eletr¥nicas,"9,75",,,,
,Ex 01 - Terminal ponto de venda ou terminal de captura de dados,15,,,,
8470.50.90,Outras,15,,,,
8470.9, Outras,,,,,
8470.90.10,M°quinas de franquear correspond™ncia,"9,75",,,,
8470.90.90,Outras,"9,75",,,,
,,,,,,
84.71,"M°quinas autom°ticasparaprocessamentode dadosesuasunidades;leitoresmagnticosou≥pticos,m°quinaspararegistrardadosemsuportesobformacodificada, e m°quinas para processamento desses dados, no especificadas nemcompreendidas noutras posiµes.",,,,,
8471.3,"- M°quinas autom°ticas para processamento de dados, port°teis, de peso no superior a10 kg, que contenham pelo menos uma unidade central de processamento, um teclado euma tela (ecr*)",,,,,
8471.30.1,Capazes de funcionar sem fonte externa de energia,,,,,
8471.30.11,"De peso inferior a 350 g, com tela de °rea no superior a 140 cm2",15,,,,
8471.30.12,"De peso inferior a 3,5 kg, com tela de °rea superior a 140 cm2, mas inferior a 560 cm2",15,,,,
8471.30.19,Outras,15,,,,
8471.30.90,Outras,15,,,,
8471.4,- Outras m°quinas autom°ticas para processamento de dados:,,,,,
8471.41.00,"Que contenham, no mesmo corpo, pelo menos uma unidade central de processamentoe, mesmo combinadas, uma unidade de entrada e uma unidade de sa≠da","9,75",,,,
8471.49.00,"Outras, apresentadas sob a forma de sistemas","9,75",,,,
8471.5,"- Unidades de processamento, exceto as das subposiµes 8471.41 ou 8471.49, podendoconter, no mesmo corpo, um ou dois dos seguintes tipos de unidades: unidade demem≥ria, unidade de entrada e unidade de sa≠da",,,,,
8471.50.10,"Depequenacapacidade,baseadasemmicroprocessadores,comcapacidadedeinstalao,dentrodomesmogabinete,deunidadesdemem≥riadasubposio8471.70, podendo conter mltiplos conectores de expanso (slots), e valor FOB inferiorou igual a US$ 12.500,00, por unidade",15,,,,
8471.50.20,"De mdia capacidade, podendo conter no m°ximo uma unidade de entrada e outra desa≠dadasubposio8471.60,comcapacidadedeinstalao,dentrodomesmogabinete, de unidades de mem≥ria da subposio 8471.70, podendo conter mltiplosconectores de expanso (slots), e valor FOB superior a US$ 12.500,00, mas nosuperior a US$ 46.000,00, por unidade",15,,,,
8471.50.30,"De grande capacidade, podendo conter no m°ximo uma unidade de entrada e outra desa≠da da subposio 8471.60, com capacidade de instalao interna, ou em m≥dulosseparados do gabinete do processador central, de unidades de mem≥ria da subposio8471.70, e valor FOB superior a US$ 46.000,00, mas no superior a US$ 100.000,00,por unidade",15,,,,
8471.50.40,"De muito grande capacidade, podendo conter no m°ximo uma unidade de entrada eoutra de sa≠da da subposio 8471.60, com capacidade de instalao interna, ou emm≥dulos separados do gabinete do processador central, de unidades de mem≥ria dasubposio 8471.70, e valor FOB superior a US$ 100.000,00, por unidade",15,,,,
8471.50.90,Outras,15,,,,
8471.6,"- Unidades de entrada ou de sa≠da, podendo conter, no mesmo corpo, unidades demem≥ria",,,,,
8471.60.5,Unidades de entrada,,,,,
8471.60.52,Teclados,"9,75",,,,
,Ex 01 - Com colmeia,0,,,,
8471.60.53,"Indicadores ou apontadores (mouse e track-ball, por exemplo)","9,75",,,,
,Ex 01 - Indicador ou apontador (mouse) com entrada para acionador,0,,,,
,Ex 02 - Acionador de presso,0,,,,
8471.60.54,Mesas digitalizadoras,"9,75",,,,
8471.60.59,Outras,"9,75",,,,
8471.60.6,"Aparelhos terminais que tenham, pelo menos, uma unidade de entrada por tecladoalfanumrico e uma unidade de sa≠da por v≠deo (terminais de v≠deo)",,,,,
8471.60.61,Com unidade de sa≠da por v≠deo monocrom°tico,"9,75",,,,
8471.60.62,Com unidade de sa≠da por v≠deo policrom°tico,"9,75",,,,
8471.60.80,Terminais de auto-atendimento banc°rio,"9,75",,,,
8471.60.90,Outras,"9,75",,,,
,Ex 01 - Linha Braille,0,,,,
8471.7, Unidades de mem≥ria,,,,,
8471.70.10,De discos magnticos,"9,75",,,,
,Ex 01 - Discos r≠gidos,10,,,,
8471.70.20,"De discos para leitura ou gravao de dados por meios ≥pticos (unidade de disco≥ptico)","6,5",,,,
8471.70.30,De fitas magnticas,"9,75",,,,
8471.70.40,De estado s≥lido (SSD - Solid-State Drive),"9,75",,,,
8471.70.90,"Outras,inclu≠dasascombinaµesdeunidadesde,pelomenos,doisdositensprecedentes","9,75",,,,
8471.80.00, Outras Unidades de m°quinas autom°ticas para processamento de dados,"9,75",,,,
8471.9, Outros,,,,,
8471.90.1,Leitores ou gravadores,,,,,
8471.90.11,De cartµes magnticos,"9,75",,,,
8471.90.12,Leitores de c≥digos de barras,"9,75",,,,
8471.90.13,Leitores de caracteres magnetiz°veis,"9,75",,,,
8471.90.14,Digitalizadores de imagens (scanners),15,,,,
,Ex 01 - Equipados com sintetizador de voz,0,,,,
8471.90.19,Outros,"9,75",,,,
8471.90.90,Outros,"9,75",,,,
,,,,,,
84.72,"Outras m°quinas e aparelhos de escrit≥rio (por exemplo, duplicadores hectogr°ficosou a est™ncil, m°quinas para imprimir endereos, distribuidores autom°ticos denotas(papis-moeda),m°quinas para selecionar,contarou empacotar moedas,m°quinasapontadorasdel°pis(apara-l°pis),perfuradoresougrampeadores(agrafadores*)).",,,,,
8472.10.00, Duplicadores,13,,,,
,Ex 01 - Duplicador Braille,0,,,,
8472.3,"- M°quinas para selecionar, dobrar, envelopar ou cintar correspond™ncia, m°quinas paraabrir, fechar ou lacrar correspond™ncia e m°quinas para colar ou obliterar selos",,,,,
8472.30.10,M°quinas autom°ticas para obliterar selos postais,13,,,,
8472.30.20,"M°quinas autom°ticas para seleo de correspond™ncia por formato e classificao edistribuio da mesma por leitura ≥ptica do c≥digo postal",13,,,,
8472.30.30,"M°quinas autom°ticas para seleo e distribuio de encomendas, por leitura ≥pticado c≥digo postal",13,,,,
8472.30.90,Outras,13,,,,
8472.9, Outros,,,,,
8472.90.10,"Distribuidores (dispensadores) autom°ticos de notas (papis-moeda), incluindo os queefetuam outras operaµes banc°rias",15,,,,
8472.90.20,"M°quinas do tipo utilizado em caixas de banco, com dispositivo para autenticar","9,75",,,,
8472.90.30,M°quinas para selecionar e contar moedas ou notas (papis-moeda),13,,,,
8472.90.40,"M°quinasapontadorasdel°pis(apara-l°pis),perfuradores,grampeadoresedesgrampeadores",13,,,,
8472.90.5,"Classificadoras autom°ticas dedocumentos, com leitoresougravadoresdoitem8471.90.1 incorporados",,,,,
8472.90.51,Com capacidade de classificao superior a 400 documentos por minuto,"9,75",,,,
8472.90.59,Outras,"9,75",,,,
8472.90.9,Outros,,,,,
8472.90.91,M°quinas para imprimir endereos ou para estampar placas de endereos,13,,,,
8472.90.99,Outros,13,,,,
,Ex 01 - M°quinas no autom°ticas de escrever em Braille,0,,,,
,,,,,,
84.73,"Partes e acess≥rios (exceto estojos, capas e semelhantes) reconhec≠veis comoexclusiva ou principalmente destinados †s m°quinas ou aparelhos das posiµes84.70 a 84.72.",,,,,
8473.2,- Partes e acess≥rios das m°quinas da posio 84.70:,,,,,
8473.21.00,"Das calculadoras eletr¥nicas das subposiµes 8470.10, 8470.21 ou 8470.29","1,3",,,,
8473.29,Outros,,,,,
8473.29.10,"Circuitos impressos com componentes eltricos ou eletr¥nicos, montados, para caixasregistradoras",15,,,,
8473.29.20,De m°quinas da subposio 8470.30,13,,,,
8473.29.90,Outros,15,,,,
8473.3,- Partes e acess≥rios das m°quinas da posio 84.71,,,,,
8473.30.1,"Gabinete, mesmo com m≥dulo display numrico, fonte de alimentao incorporada ouambos",,,,,
8473.30.11,"Com fonte de alimentao, mesmo com m≥dulo display numrico","6,5",,,,
8473.30.19,Outros,"6,5",,,,
8473.30.3,"De unidades de discos magnticos ou de fitas magnticas, exceto as do item 8473.30.4",,,,,
8473.30.31,"Conjuntos cabea-disco (HDA - Head Disk Assembly) de unidades de discos r≠gidos,montados","6,5",,,,
8473.30.32,Braos posicionadores de cabeas magnticas,"1,3",,,,
8473.30.33,Cabeas magnticas,"1,3",,,,
8473.30.34,"Mecanismosbobinadoresparaunidadesdefitasmagnticas(magnetictapetransporter)","6,5",,,,
